as_of,v3_pct,v2_pct,snapshot
2023-05-30,34.26,65.74,20230530080703
2023-10-20,43.48,56.52,20231020105331
2023-11-26,45.08,54.92,20231126215021
2024-02-09,49.46,50.54,20240209152234
2024-03-19,51.27,48.73,20240319180825
2024-04-22,52.78,47.22,20240422110349
2024-05-20,54.72,45.28,20240520224649
2024-06-04,55.68,44.32,20240604204202
2024-07-07,57.16,42.84,20240707105538
2024-08-07,58.32,41.68,20240807132735
2024-09-15,60.0,40.0,20240915164758
2024-10-07,60.93,39.07,20241007215127
2024-11-17,62.56,37.44,20241117044331
2025-02-21,66.16,33.84,20250221224845
2025-03-04,66.73,33.27,20250304174719
2025-04-24,69.31,30.69,20250424152931
2025-05-08,69.87,30.13,20250508223046
2025-06-04,70.78,29.22,20250604134729
2025-07-09,72.06,27.94,20250709141854
2025-10-05,75.93,24.07,20251005113157
2025-12-18,76.8,23.2,20251218093215
2026-02-02,78.15,21.85,20260202062043
2026-04-10,80.66,19.34,20260410092712
2026-05-16,82.16,17.84,20260516144216
2026-06-19,83.26,16.74,20260619012732
2026-07-19,84.32,15.68,20260719150955
