as_of,v3_pct,v2_pct,snapshot
2022-01-17,4.2,95.8,20220117050915
2022-04-10,7.99,92.01,20220410153904
2022-05-24,9.38,90.62,20220524172254
2022-07-08,11.23,88.77,20220708062523
2022-08-14,12.92,87.08,20220814163303
2022-09-30,14.76,85.24,20220930035957
2022-11-16,16.71,83.29,20221116131916
2022-12-13,17.84,82.16,20221213002405
2023-02-01,20.27,79.73,20230201131915
2023-03-06,21.82,78.18,20230306230445
2023-04-01,23.42,76.58,20230401012003
2023-05-30,27.07,72.93,20230530080703
2023-10-20,34.51,65.49,20231020105331
2023-11-26,35.92,64.08,20231126215021
2024-02-09,39.6,60.4,20240209152234
2024-03-19,41.22,58.78,20240319180825
2024-04-22,42.83,57.17,20240422110349
2024-05-20,46.82,53.18,20240520224649
2024-06-04,47.79,52.21,20240604204202
2024-07-07,49.36,50.64,20240707105538
2024-08-07,50.68,49.32,20240807132735
2024-09-15,52.63,47.37,20240915164758
2024-10-07,53.67,46.33,20241007215127
2024-11-17,55.47,44.53,20241117044331
2025-02-21,59.32,40.68,20250221224845
2025-03-04,60.07,39.93,20250304174719
2025-04-24,62.66,37.34,20250424152931
2025-05-08,63.29,36.71,20250508223046
2025-06-04,64.3,35.7,20250604134729
2025-07-09,65.78,34.22,20250709141854
2025-10-05,69.83,30.17,20251005113157
2025-12-18,71.8,28.2,20251218093215
2026-02-02,72.34,27.66,20260202062043
2026-04-10,75.06,24.94,20260410092712
2026-05-16,76.75,23.25,20260516144216
2026-06-19,77.95,22.05,20260619012732
2026-07-19,79.24,20.76,20260719150955
