as_of,v3_pct,v2_pct,snapshot
2023-05-30,11.16,88.84,20230530080703
2023-10-20,16.87,83.13,20231020105331
2023-11-26,17.72,82.28,20231126215021
2024-02-09,19.89,80.11,20240209152234
2024-03-19,21.21,78.79,20240319180825
2024-04-22,24.17,75.83,20240422110349
2024-05-20,35.33,64.67,20240520224649
2024-06-04,36.8,63.2,20240604204202
2024-07-07,39.57,60.43,20240707105538
2024-08-07,42.3,57.7,20240807132735
2024-09-15,46.18,53.82,20240915164758
2024-10-07,47.92,52.08,20241007215127
2024-11-17,50.82,49.18,20241117044331
2025-02-21,55.94,44.06,20250221224845
2025-03-04,57.39,42.61,20250304174719
2025-04-24,59.89,40.11,20250424152931
2025-05-08,60.71,39.29,20250508223046
2025-06-04,61.9,38.1,20250604134729
2025-07-09,63.71,36.29,20250709141854
2025-10-05,68.28,31.72,20251005113157
2025-12-18,72.53,27.47,20251218093215
2026-02-02,69.53,30.47,20260202062043
2026-04-10,71.46,28.54,20260410092712
2026-05-16,72.74,27.26,20260516144216
2026-06-19,73.4,26.6,20260619012732
2026-07-19,74.95,25.05,20260719150955
