extension_name,interestingness_score,notes,overall_working,needs_login,installs,works_in_mv2,is_popup_working,extension_id
,,,NO,,NO,,,abnlpgnoijoannioldehkdjfofbpnfad
Google Search Console SEO Enhancer,,,NO,,NO,,,acdglffpgonoaepdhfmbccjpeopblbom
Gerador de CPF/CNPJ,,,NO,,NO,,,adffhnigbmemfmcgndacjdmpeagmhmhb
IHeader,,,NO,,NO,,,adhdbclaplninpalnlcgaooncbkjocmp
Punkass Kids!! Get Off My Browser,,,NO,,NO,,,adllocmhjliahdanbfnaijobleemnglo
Aiwozo,,,NO,,NO,,,admkahgcbipglokgboenonpgaklpaoma
English Words 300+,,Failed to load extension from: /Users/daniel/Projects/uni.local/master_project/google_manifest_converter/mv3_extensions/adnjlnpdndicafchbglghieljplkhphk. Manifest file is missing or unreadable,NO,,No,,,adnjlnpdndicafchbglghieljplkhphk
Avionte Echo,,"Failed to load extension from: /Users/daniel/Projects/uni.local/master_project/google_manifest_converter/mv3_extensions/aedcegbncjgdbpdodemfbimfdilimfda. 'content_security_policy.extension_pages': Insecure CSP value ""https://mycompas.com"" in directive 'script-src'.",NO,,NO,,,aedcegbncjgdbpdodemfbimfdilimfda
a(8) Functions,,,Could_not_test,,YEs,,,afaaijiijklfhkhapfocbahlnpgknlmg
The Element Cycles,,Failed to load extension from: /Users/daniel/Projects/uni.local/master_project/google_manifest_converter/mv3_extensions/afakeafhcjjglnedecmbhknbhalnelfb. Invalid value for 'icons'.,No,,No,,,afakeafhcjjglnedecmbhknbhalnelfb
SeoVisor,,"Failed to load extension from: /Users/daniel/Projects/uni.local/master_project/google_manifest_converter/mv3_extensions/afijdkapacbnmfjkmipdfgnnbfpmmoad. 'content_security_policy.extension_pages': Insecure CSP value ""https://cdn.rawgit.com"" in directive 'script-src'.",NO,,NO,,,afijdkapacbnmfjkmipdfgnnbfpmmoad
Placeholder - Test,,,YES,,,,,ahepglganllfpmdkkldabebaioanjclb
Black Blank Tab Page,,,yes,,,,,aianghkolnphmmngpknlgbcafoelacen
Oodalicious,,Failed to load extension from: /Users/daniel/Projects/uni.local/master_project/google_manifest_converter/mv3_extensions/ajajocakkdflkbnfmmpcmdefmfbiipfo. Could not load icon 'images/ooda-16.png' specified in 'icons'.,no,,no,,,ajajocakkdflkbnfmmpcmdefmfbiipfo
Noisli,,"Failed to load extension from: /Users/daniel/Projects/uni.local/master_project/google_manifest_converter/mv3_extensions/ajiemnfobhbjbjlnlgmidkbnejlffmmi. 'content_security_policy.extension_pages': Insecure CSP value ""'sha256-yMe7VxlzSP7BnVQz16gqjvmhlnYzWUsfHx/U8ft93Fo='"" in directive 'script-src'.",no,,no,,,ajiemnfobhbjbjlnlgmidkbnejlffmmi
LeadDesk Talk,,Failed to load extension from: /Users/daniel/Projects/uni.local/master_project/google_manifest_converter/mv3_extensions/ajkhhbbojkdghjfdmiekadmeplhehppa. Catalog file is missing for locale en_US.,no,,no,,,ajkhhbbojkdghjfdmiekadmeplhehppa
Стартовая и поиск Hi.Ru,,"Failed to load extension from: /Users/daniel/Projects/uni.local/master_project/google_manifest_converter/mv3_extensions/akghknjchdholmeelknhkghgnmknfhaa. 'content_security_policy.extension_pages': Insecure CSP value ""https://www.google.com"" in directive 'script-src'.",no,,no,,,akghknjchdholmeelknhkghgnmknfhaa
Intercom Gmail Integration,,Failed to load extension from: /Users/daniel/Projects/uni.local/master_project/google_manifest_converter/mv3_extensions/aklfgleddjhndofilfinfnlkkondcdke. Could not load icon 'images/icons/48.png' specified in 'icons'.,no,,no,,,aklfgleddjhndofilfinfnlkkondcdke
SWATHub Recorder,,Failed to load extension from: /Users/daniel/Projects/uni.local/master_project/google_manifest_converter/mv3_extensions/alhljceidfdmahgfhjlpbbpcmcbnicfc. Manifest file is missing or unreadable,no,,no,,,alhljceidfdmahgfhjlpbbpcmcbnicfc
JumpToOSMChangesetAnalyzer,,Failed to load extension from: /Users/daniel/Projects/uni.local/master_project/google_manifest_converter/mv3_extensions/amlffnkkdaedmndiklgdphaanmcjnlea. Could not load icon 'icon128.png' specified in 'icons'.,no,,no,,,amlffnkkdaedmndiklgdphaanmcjnlea
Qr Code B2S,,,Could_not_test,,,,,andbigojninbopokegabdicgoppdoaok
Reload CSS,,,Could_not_test,,,,,annmmkpobpkmnmdmcjmbonpmnpmohica
BLEWE,,,Could_not_test,,,,,aoihghfnnhcifinbmgadnmiifjamacnb
SearchOns.com,,,yes,,,,,baakjfhbggcmmandgpkcekbogaadppim
"Omni - tabs, history and bookmarks by Tefter",,Failed to load extension from: /Users/daniel/Projects/uni.local/master_project/google_manifest_converter/mv3_extensions/bafajkcbalfkkdghjpgcaaopfalikmlk. Could not load javascript 'content/container.js' for script.,no,,no,,,bafajkcbalfkkdghjpgcaaopfalikmlk
New Tab G,,Failed to load extension from: /Users/daniel/Projects/uni.local/master_project/google_manifest_converter/mv3_extensions/bamekgeijlhgjcoicenppddmnfpjiehi. File not found: newtabg.html.,no,,no,,,bamekgeijlhgjcoicenppddmnfpjiehi
fraud_alert,,,no,,no,,,banegighfdcacilmkahdjhgjgbciafmk
Just Launched,,Failed to load extension from: /Users/daniel/Projects/uni.local/master_project/google_manifest_converter/mv3_extensions/baobkpiejapnnmhbpbmmbpkgickpdghh. Could not load icon 'icons/icon16.png' specified in 'icons'.,no,,no,,,baobkpiejapnnmhbpbmmbpkgickpdghh
AlphaQuotes Motivational Quotes New Tab,,,no,,,,,baoehcinncafahkhefhjanpoiikmfccl
The Copy Me,,Failed to load extension from: /Users/daniel/Projects/uni.local/master_project/google_manifest_converter/mv3_extensions/bbngmchfignilolhmmpjdilkdelmjeej. Could not load icon 'icon/icon16.png' specified in 'icons'.,no,,no,,,bbngmchfignilolhmmpjdilkdelmjeej
Калькулятор,,"Failed to load extension from: /Users/daniel/Projects/uni.local/master_project/google_manifest_converter/mv3_extensions/bbofkffmfiambifonbnhfackhigeodkg. 'content_security_policy.extension_pages': Insecure CSP value ""'unsafe-eval'"" in directive 'script-src'.",no,,no,,,bbofkffmfiambifonbnhfackhigeodkg
Download Images,,Failed to load extension from: /Users/daniel/Projects/uni.local/master_project/google_manifest_converter/mv3_extensions/bccdohmacgkihojgdefakdhhdccpclpk. The chrome_style option cannot be used with manifest version 3.,no,,no,,,bccdohmacgkihojgdefakdhhdccpclpk
Numerology Score Calculator,,Failed to load extension from: /Users/daniel/Projects/uni.local/master_project/google_manifest_converter/mv3_extensions/beaepapjkhdcienhpgcoekbjckajapdk. Could not load icon 'icon.png' specified in 'action'.,no,,no,,,beaepapjkhdcienhpgcoekbjckajapdk
ShopOrama Tool - Eagle Media,,Failed to load extension from: /Users/daniel/Projects/uni.local/master_project/google_manifest_converter/mv3_extensions/bedodokiampcckckeodkpdhchmgbleff. The chrome_style option cannot be used with manifest version 3.,no,,no,,,bedodokiampcckckeodkpdhchmgbleff
CloudCall Unified Communications for CRM,,,Could_not_test,,,,,beknlgommgoagklgejjlpnhmpaihlgdg
 洪水・高潮リスク情報埋め込み　KeepDry,,Failed to load extension from: /Users/daniel/Projects/uni.local/master_project/google_manifest_converter/mv3_extensions/bennjncpdnagmdljjiaknlifgdmphecd. Could not load icon 'keepdry_char_48.png' specified in 'icons'.,no,,no,,,bennjncpdnagmdljjiaknlifgdmphecd
Extra Characters,,,Could_not_test,,,,,bfbljmnkhmljnlpfndlmoeohckhghgcg
The Joe Rogan Experience Productivity Podcast,,,no,,,,no,bfmfbnlagkdfnhdeibiaimidhdaonhcm
Streak Tracker,,"Failed to load extension from: /Users/daniel/Projects/uni.local/master_project/google_manifest_converter/mv3_extensions/bgcajjlghcbaoebgfgnhjbgaipmlpdli. 'content_security_policy.extension_pages': Insecure CSP value ""https://ssl.google-analytics.com"" in directive 'script-src'.",no,,no,,,bgcajjlghcbaoebgfgnhjbgaipmlpdli
"CFCA CryptoKit.ThBigData Extension
",,Failed to load extension from: /Users/daniel/Projects/uni.local/master_project/google_manifest_converter/mv3_extensions/bggjpabhffcbppkohaapeojcmhflhagl. Manifest file is missing or unreadable,no,,no,,,bggjpabhffcbppkohaapeojcmhflhagl
unnamed,,Failed to load extension from: /Users/daniel/Projects/uni.local/master_project/google_manifest_converter/mv3_extensions/bhbokemlpmdlelkjliimdldfpamnedlj. Manifest file is missing or unreadable,no,,no,,,bhbokemlpmdlelkjliimdldfpamnedlj
Brightery Notes,,"Failed to load extension from: /Users/daniel/Projects/uni.local/master_project/google_manifest_converter/mv3_extensions/bhichmmmceomopnpgjelkhakmacmibmp. 'content_security_policy.extension_pages': Insecure CSP value ""'unsafe-eval'"" in directive 'script-src'.",no,,no,,,bhichmmmceomopnpgjelkhakmacmibmp
Github Code Review,,,Could_not_test,,,,,bhjpefidnkhmieflmgbjibmkpnaemilo
HiTravel PC版安全插件,,Failed to load extension from: /Users/daniel/Projects/uni.local/master_project/google_manifest_converter/mv3_extensions/bjopjmdidokjahnbekjliekbplkhaink. Could not load icon 'logo.png' specified in 'action'.,no,,no,,,bjopjmdidokjahnbekjliekbplkhaink
Zápisník nabídek práce,,Failed to load extension from: /Users/daniel/Projects/uni.local/master_project/google_manifest_converter/mv3_extensions/bkpdohcllhcaejhijbolghcgcdkfacom. Could not load javascript 'jquery-3.5.1.min.js' for script.,no,,no,,,bkpdohcllhcaejhijbolghcgcdkfacom
Test the Rest!,,Failed to load extension from: /Users/daniel/Projects/uni.local/master_project/google_manifest_converter/mv3_extensions/blaghicfklakdeloamnjpaoodkpeglbl. Manifest file is missing or unreadable,no,,no,,,blaghicfklakdeloamnjpaoodkpeglbl
(unnamed),,Failed to load extension from: /Users/daniel/Projects/uni.local/master_project/google_manifest_converter/mv3_extensions/bleldoicciehkibfgnpmelglegmmgcnj. Manifest file is missing or unreadable,no,,no,,,bleldoicciehkibfgnpmelglegmmgcnj
实时行情助手火币版 - 实时查看代币涨跌幅,,"Failed to load extension from: /Users/daniel/Projects/uni.local/master_project/google_manifest_converter/mv3_extensions/blhmbnpjfldjoopigndnecfdkemhbmef. 'content_security_policy.extension_pages': Insecure CSP value ""'unsafe-eval'"" in directive 'script-src'.",no,,no,,,blhmbnpjfldjoopigndnecfdkemhbmef
BLAST for Seller Central,,,Could_not_test,,,,,blndcbbnjekmjhgeaefcdmjijfmgcnjg
Tabby Face,,Failed to load extension from: /Users/daniel/Projects/uni.local/master_project/google_manifest_converter/mv3_extensions/bndfdncjampimpibnblidhoepkhbpeaa. Could not load icon 'images/icon16.png' specified in 'icons'.,no,,no,,,bndfdncjampimpibnblidhoepkhbpeaa
Arasak.com,,,yes,,,,,boaeobjcahicijkejbedemnaoibnmgmp
AppEncuestas,,Failed to load extension from: /Users/daniel/Projects/uni.local/master_project/google_manifest_converter/mv3_extensions/boekfjjlekafbaldmpoimjbcecnfjohd. Could not load icon 'icon16.png' specified in 'icons'.,no,,no,,,boekfjjlekafbaldmpoimjbcecnfjohd
"Airbnb Zoning Cross-Reference Extension
",,Failed to load extension from: /Users/daniel/Projects/uni.local/master_project/google_manifest_converter/mv3_extensions/bpikjpiahcghfboceffhojblkpfofbjf. Manifest file is missing or unreadable,no,,no,,,bpikjpiahcghfboceffhojblkpfofbjf
賽考利克泰雅語翻譯,,Failed to load extension from: /Users/daniel/Projects/uni.local/master_project/google_manifest_converter/mv3_extensions/caccbdlmcdnnimccpgammdabicibcbmp. Could not load icon 'icon16.png' specified in 'icons'.,no,,no,,,caccbdlmcdnnimccpgammdabicibcbmp
"VocaDict - Search Once, Remember Forever",,"Failed to load extension from: /Users/daniel/Projects/uni.local/master_project/google_manifest_converter/mv3_extensions/cbdadgfefpgaiiefilhjlbgnjhkffhmo. 'content_security_policy.extension_pages': Insecure CSP value ""'unsafe-eval'"" in directive 'script-src'.",no,,no,,,cbdadgfefpgaiiefilhjlbgnjhkffhmo
Nuke Dialog,,Failed to load extension from: /Users/daniel/Projects/uni.local/master_project/google_manifest_converter/mv3_extensions/cbhgkjdeinacfjhpfcilpneemghgoham. Could not load javascript 'mutation.js' for script.,no,,no,,,cbhgkjdeinacfjhpfcilpneemghgoham
(unnamed),,Failed to load extension from: /Users/daniel/Projects/uni.local/master_project/google_manifest_converter/mv3_extensions/cboiihjkpoglonpcokofnogklldjanog. Manifest file is missing or unreadable,no,,no,,,cboiihjkpoglonpcokofnogklldjanog
Aba smart downloader,,Failed to load extension from: /Users/daniel/Projects/uni.local/master_project/google_manifest_converter/mv3_extensions/ccfjahpenjnbdmbeonmmclmlhkbomfpa. Manifest file is missing or unreadable,no,,no,,,ccfjahpenjnbdmbeonmmclmlhkbomfpa
