extension_name,interestingness_score,notes,Matches Sonnet?,overall_working,needs_login,installs,works_in_mv2,is_popup_working,extension_id
TabAddict,,,no,no,,no,yes,,cjfcggncifmbgbmndiplmoebchjfifbn
ThingamaTABS,,,no,no,,no,yes,,dfabnoahjnbkpfpadnngfiamnmombjmc
SPG - Strong Password Generator,,,yes,yes,,,yes,,cboiihjkpoglonpcokofnogklldjanog
FGC Lite,,,yes,no,,,yes,no,memokfnkpgdjobpofphcablopgiichff
Orderly,,,yes,no,,,yes,,gmnbooobfpmpneahdodoiddocbbjllga
QPocket,,,yes,no,,,yes,no,cjkdhmpngnpbcdjmmklijgfoincfapcm
Twitter Filter,,,yes,no,,,yes,,kamdgboidomchcpinngjlbcamfhbkhnn
Minimalist for Everything,,,yes,no,,,yes,,jkkajfdlllklkdogdliiekiifkohbind
FejoaAuth,,,yes,yes,,,yes,,gmfnhgekmcgknlbnccifbgaolkmfdack
Turbo Chrome - Navegue mais rápido!,,,yes,no,,,yes,,emcjdngajkpbakgnkdgcchihghefikao
Readersourcing 2.0: RS_Rate,,,no,could_not_test,yes,,yes,,ffaajihcojdgmniajmgeandigjbdkkgb
"Omni - tabs, history and bookmarks by Tefter",,,yes,yes,,,yes,,bafajkcbalfkkdghjpgcaaopfalikmlk
" Web Boost - Wait Less, Browse Faster!",,,yes,no,,,yes,,jicfhkclcbbdonkdapiekgbhggdocdnp
" VocaDict - Search Once, Remember Forever",,,yes,no,,,yes,,cbdadgfefpgaiiefilhjlbgnjhkffhmo
PlayGround,,,no,no,,,yes,,enobkmonaalllckgcjlpcmjeoihgjfne
 Appian Dev Tools,,,yes,no,,,yes,,pgeebkoooblfhhckkccbccmefkaapfik
Double Trans,,,yes,no,,,yes,,edfflpconbnjmnejkmeddehoeccenmic
ezDeFi,,,yes,no,,,yes,,mcmeaebmnjcpdligmemdlmofjagojedp
Covfefe,,,yes,no,,,yes,,meomojfiombmjonneipeklinaikkokgh
smarterPod: Simple and Smart Podcast Player,,,yes,no,,,yes,,abnlpgnoijoannioldehkdjfofbpnfad
Chrome To Device,,,yes,no,,,yes,,lhepcaejamkdnoljcjaakmihhmjjjkeh
Better Network Panel,,,no,no,,,yes,,igoojenlmajfglpidhkimplbmcjlponi
command-t,,,yes,yes,,,yes,,idojlgkdoohgidhpcjamhpdaofafiocj
Concept&Go,,,yes,no,,,yes,,dkheaplknmplgdcaffadpicnbooojlob
Wildfire,,,yes,no,,,yes,,eeoeakefoojbgmmileebfcjgdgpekfae
Stop Tabs 10,,,no,no,,,yes,,enkgpigninikpjifapaeakfdmpkblnbl
Solanatip,,,yes,no,,,yes,,mkdeccahohlpfjbhmmaaijljjhmfmdfn
Quicker Search,,,yes,no,,,yes,,jdmepaljbmglonfljdlohodkaaakbmjm
New Tab Page - Blank,,,yes,yes,,,yes,,fgammopmbkkafkclbikopphkeeilajba
 实时行情助手火币版 - 实时查看代币涨跌幅,,,yes,no,,,yes,,blhmbnpjfldjoopigndnecfdkemhbmef
 Crypto follow,,,yes,no,,no,yes,,mknflhinhbbiabecejbgcgpilcfjkfho
Fast Reader,,,yes,no,,,yes,,khneipdgeiofabcjbidcicboeofghjkc
Reload All Tabs,,,no,no,,,yes,,kmjccehdojphpoalkojfmfndbmpmkkod
