Extension Name,Working?,extension_id
TabAddict,yes,cjfcggncifmbgbmndiplmoebchjfifbn
ThingamaTABS,yes,dfabnoahjnbkpfpadnngfiamnmombjmc
SPG - Strong Password Generator,yes,cboiihjkpoglonpcokofnogklldjanog
FGC Lite,no,memokfnkpgdjobpofphcablopgiichff
Orderly,no,gmnbooobfpmpneahdodoiddocbbjllga
QPocket,no,cjkdhmpngnpbcdjmmklijgfoincfapcm
Twitter Filter,no,kamdgboidomchcpinngjlbcamfhbkhnn
Minimalist for Everything,no,jkkajfdlllklkdogdliiekiifkohbind
FejoaAuth,yes,gmfnhgekmcgknlbnccifbgaolkmfdack
Turbo Chrome - Navegue mais rápido!,no,emcjdngajkpbakgnkdgcchihghefikao
Readersourcing 2.0: RS_Rate,no,ffaajihcojdgmniajmgeandigjbdkkgb
"Omni - tabs, history and bookmarks by Tefter",yes,bafajkcbalfkkdghjpgcaaopfalikmlk
" Web Boost - Wait Less, Browse Faster!",no,jicfhkclcbbdonkdapiekgbhggdocdnp
" VocaDict - Search Once, Remember Forever",no,cbdadgfefpgaiiefilhjlbgnjhkffhmo
PlayGround,yes,enobkmonaalllckgcjlpcmjeoihgjfne
 Appian Dev Tools,no,pgeebkoooblfhhckkccbccmefkaapfik
Double Trans,no,edfflpconbnjmnejkmeddehoeccenmic
ezDeFi,no,mcmeaebmnjcpdligmemdlmofjagojedp
Covfefe,no,meomojfiombmjonneipeklinaikkokgh
smarterPod: Simple and Smart Podcast Player,no,abnlpgnoijoannioldehkdjfofbpnfad
Chrome To Device,no,lhepcaejamkdnoljcjaakmihhmjjjkeh
Better Network Panel,yes,igoojenlmajfglpidhkimplbmcjlponi
command-t,yes,idojlgkdoohgidhpcjamhpdaofafiocj
Concept&Go,no,dkheaplknmplgdcaffadpicnbooojlob
Wildfire,no,eeoeakefoojbgmmileebfcjgdgpekfae
Stop Tabs 10,yes,enkgpigninikpjifapaeakfdmpkblnbl
Solanatip,no,mkdeccahohlpfjbhmmaaijljjhmfmdfn
Quicker Search,no,jdmepaljbmglonfljdlohodkaaakbmjm
New Tab Page - Blank,yes,fgammopmbkkafkclbikopphkeeilajba
 实时行情助手火币版 - 实时查看代币涨跌幅,no,blhmbnpjfldjoopigndnecfdkemhbmef
 Crypto follow,no,mknflhinhbbiabecejbgcgpilcfjkfho
Fast Reader,no,khneipdgeiofabcjbidcicboeofghjkc
Reload All Tabs,yes,kmjccehdojphpoalkojfmfndbmpmkkod
Tabliner,yes,pdhcplbcmmaghpboidnooibhfdnpfipm
Gerador de CPF/CNPJ,yes,adffhnigbmemfmcgndacjdmpeagmhmhb
PIZZARIA Integrale,yes,hcghgegolfhjekgieokjnkifolmhmepe
Slotsspot: theme for browser Chrome,yes,jifgdinlemmbjjabganbldnbfnkkidhf
My Zmanim Monsey,no,lgaankgifdhicdelppjoccifpgmoealk
Movavi Video Editor 2020,yes,ecfghdaebifhpkhakaombcbekjpjhnkh
Blank New Tab,yes,njfmakabgionbalgnlpoiccgoecdeeoi
Nicely.cc,yes,hdhafnlnpgihafppplpdfbdhjionmpin
Pangolin Fake Detector,no,pffkklpbehjpoaeegghbdjfikinmndnd
DeRocket Star,yes,efknekcleeppkeihidbeoggjfdenogob
 Full-Window Player for YouTube,yes,eifhnmgbkcbehcaabdmgmbgnlaheadpn
Quick Tab,no,lnmkkohgjfjokjoaaebdbconhokeajgp
Screenshot Capture,yes,mebhnnfdhipfhjaebnboibcdkdipjddj
PDF to FB2 Converter,yes,knecnendkbbdmncklbhlgcppjpajaipd
Test the Rest!,yes,blaghicfklakdeloamnjpaoodkpeglbl
Best Google SEO Helper,yes,dhenabeepcbhcpbkeebhfijlmioihcjd
Keep Colorado Green Facebook Banking,yes,gamcmmbgkgadkkionimkedkaighlgaga
cookie快速模拟,no,hholgmphhacfggakbffioccbmcnmkckg
Audio Web,yes,fedagdconefjhabnkfpdlahifhjhffjb
PC Protect Safe Site,no,hnckgnbicnmpdppjnbchkokjinfhfpla
Page to wireframe,yes,ijanbjhbpglkhncjadppmcnooicdkljd
South Schedule,no,knhjbhkpdfmlmjiaepkppgcijhanmiem
Refresh my site!,yes,nmecppbaggcpblcfdidlokfnfpljikgj
Clappify,no,opofknelcmapaeiidceffimbngcamhep
Trends v2 for YouTube™,no,pimjgeemhpcfodpeklckmhjeodaiggig
Social Media Stopwatch,no,pknjhbmcfdoebllidlolfnhkooigpeel
Find+,yes,gedegpjjmmhgiccmigekiedmhdedgmpi
Odete,yes,njchepcljhlephnkhpjnggplnjelkdlj
CleanLink,no,kndnfbmjopkenghimanimafaijmhibac
Wevuw: Review the Web,no,cocpfkobggjbobpnmklfambchdegmhob
AtCoder VirtualContest-Connect,no,jpginnjealbknnbgnklknalagkdmlpag
Kick me off,yes,dfinmoanpfepmadmnihefempeefdekhi
Noisli,no,ajiemnfobhbjbjlnlgmidkbnejlffmmi
H-Header,yes,ekgipgiaopkfpcbkjfmkfnnbnkohohkl
Button: Clear Browsing Data,yes,dlgjlpalfblohgbnneomemgednccmgga
AlphaQuotes Motivational Quotes New Tab,yes,baoehcinncafahkhefhjanpoiikmfccl
King Crab Party,yes,dllkogdmbanlppjpgdibfkbblbaahijn
