extension_name,interestingness_score,notes,overall_working,working in 500 set,needs_login,installs,works_in_mv2,is_popup_working,extension_id
hivetips,,,could_not_test,no,,,TRUE,,gnapooibnagamngemlkkjmjfkmgbdmcl
 Leonardo: Size Fitting for Apparel & Clothing,,,could_not_test,no,,,TRUE,,ehhoppehlpohjjbflmffjpoblnfhikbi
ThingamaTABS,,,yes,no,,,TRUE,,dfabnoahjnbkpfpadnngfiamnmombjmc
SPG - Strong Password Generator,,,yes,yes,,,TRUE,,cboiihjkpoglonpcokofnogklldjanog
Hydrawallet,,,could_not_test,no,,,TRUE,,efifejldhjgaahmmilfjlcnegkghglpl
FGC Lite,,,no,no,,,TRUE,,memokfnkpgdjobpofphcablopgiichff
Orderly,,,no,no,,,FALSE,,gmnbooobfpmpneahdodoiddocbbjllga
QPocket,,,no,no,,,TRUE,,cjkdhmpngnpbcdjmmklijgfoincfapcm
Twitter Filter,,,no,no,,,FALSE,,kamdgboidomchcpinngjlbcamfhbkhnn
Vocabera,,,could_not_test,no,,,TRUE,,ennjefgehhmkgbeeckkaamhcohhghilf
Minimalist for Everything,,,no,no,,,TRUE,,jkkajfdlllklkdogdliiekiifkohbind
FejoaAuth,,,yes,no,,,TRUE,,gmfnhgekmcgknlbnccifbgaolkmfdack
ShardEx,,,could_not_test,no,,,TRUE,,cgnpnjmjklfcalnkjadmhakigcmfkeih
Turbo Chrome - Navegue mais rápido!,,,no,no,,,TRUE,,emcjdngajkpbakgnkdgcchihghefikao
Readersourcing 2.0: RS_Rate,,,no,no,,,TRUE,,ffaajihcojdgmniajmgeandigjbdkkgb
Jamo Automator,,,could_not_test,no,,,TRUE,,lchgncgkegpocpdbdjnkkjccbggbnaeh
"Omni - tabs, history and bookmarks by Tefter",,,yes,no,,,TRUE,,bafajkcbalfkkdghjpgcaaopfalikmlk
Issue comment for GitHub,,,could_not_test,no,,,FALSE,,edcmdkajjaphafjijhpebmeaogoeeeam
" Web Boost - Wait Less, Browse Faster!",,,no,no,,,TRUE,,jicfhkclcbbdonkdapiekgbhggdocdnp
" VocaDict - Search Once, Remember Forever",,,no,no,,,TRUE,,cbdadgfefpgaiiefilhjlbgnjhkffhmo
PlayGround,,,yes,no,,,TRUE,,enobkmonaalllckgcjlpcmjeoihgjfne
 Appian Dev Tools,,,no,no,,,TRUE,,pgeebkoooblfhhckkccbccmefkaapfik
Double Trans,,,no,no,,,TRUE,,edfflpconbnjmnejkmeddehoeccenmic
ezDeFi,,,no,no,,,TRUE,,mcmeaebmnjcpdligmemdlmofjagojedp
LeetHub,,,could_not_test,no,,,TRUE,,gdgegpnkjddbcohnegdddhldaeodocaj
Watchspot Chrome,,,could_not_test,could_not_test,,,FALSE,,jfpffimkffkiffdaonmanonhedlkfenf
DeepAli - DeepLink Generator for AliExpress™,,,could_not_test,no,,,TRUE,,jfpmipfmnoleakbnehmhhoefgofjilba
Gist User Script Manager,,,could_not_test,no,,,FALSE,,ihdanbaefbkjdfpkoaeghlhlojepjjgk
Covfefe,,,no,no,,,TRUE,,meomojfiombmjonneipeklinaikkokgh
smarterPod: Simple and Smart Podcast Player,,,no,no,,,TRUE,,abnlpgnoijoannioldehkdjfofbpnfad
Meteor,,,could_not_test,no,,,TRUE,,ifinhiedefieainkbjjjcomcfnjceofd
Audio Recorder,,,could_not_test,no,,,TRUE,,bleldoicciehkibfgnpmelglegmmgcnj
Nicky,,,could_not_test,no,,,FALSE,,kdlldkmdldhhichhafohldmgpicfnfcc
Mark&Go,,,could_not_test,no,,,TRUE,,eockakolmhcbpimokdidgpjgemlhajib
Chrome To Device,,,no,no,,,FALSE,,lhepcaejamkdnoljcjaakmihhmjjjkeh
Nuke Your Tracks,,,could_not_test,no,,,FALSE,,oipmhfjfahhabmkhmicdfnejhmdfbhal
Better Network Panel,,,yes,no,,,TRUE,,igoojenlmajfglpidhkimplbmcjlponi
command-t,,,yes,no,,,TRUE,,idojlgkdoohgidhpcjamhpdaofafiocj
Concept&Go,,,no,no,,,TRUE,,dkheaplknmplgdcaffadpicnbooojlob
Wildfire,,,no,no,,,TRUE,,eeoeakefoojbgmmileebfcjgdgpekfae
Noisli,,,no,no,,,TRUE,,ajiemnfobhbjbjlnlgmidkbnejlffmmi
