csv_extension_id,mv2_id,mv3_id,matched_by,dataset_name,dataset_version,csv_name,csv_version,manifest_v2_path
ljjfbdkncogailpjfjjodnjaifklnphb,ljjfbdkncogailpjfjjodnjaifklnphb,finfbcigjompdncdfgkdijecdejklomo,id,Fusion Legacy,3.57.7.30,Fusion Legacy,3.57.7.30,/app/extensions/eojgfgeapephofifpjgapdlaopfdhceh
onbjfjajekembgebmjmoonbkpgeckape,onbjfjajekembgebmjmoonbkpgeckape,lgldlcejiaclkldkoghkabiaejhedfoj,id,Easync Product ID Grab Tool for Drop Shipping,2.29.62,Easync Product ID Grab Tool for Drop Shipping,2.29.62,/app/extensions/cailnmbnfboealffnempgplnfcjoibgb
gnapooibnagamngemlkkjmjfkmgbdmcl,gnapooibnagamngemlkkjmjfkmgbdmcl,njdjpghbjpjneccfmfoajbcocdfemcpn,id,name,1.0.4,name,1.0.4,/app/extensions/pepgdkiflaefcmpogbpjpckbbddbjamc
ehhoppehlpohjjbflmffjpoblnfhikbi,ehhoppehlpohjjbflmffjpoblnfhikbi,hodahfcadgeicncdaejkgkinghpfpcmh,id,Leonardo: Size Fitting for Apparel & Clothing,4.0,Leonardo: Size Fitting for Apparel & Clothing,4.0,/app/extensions/bopjkonidcollbknincfmlkfdoghecfn
chlmccdddekohhoocdhhcipbbhccaadp,chlmccdddekohhoocdhhcipbbhccaadp,lnnbjodbnncpfndacfpbblodnomaobpn,id,"香港查書易[圖書館,商店,大學]",5.5.2,"香港查書易[圖書館,商店,大學]",5.5.2,/app/extensions/feogkkanenodggcgllennnngpgnfphlp
kmfkgbembmgpplalpecdfmfflcnagmgg,kmfkgbembmgpplalpecdfmfflcnagmgg,dpfmkfpoknbhdehlcbbgodoameghcfnh,id,Offline CodeIgniter,1.0.0,Offline CodeIgniter,1.0.0,/app/extensions/aehpjkiilcojfhnoanlmmkchnpkkdkoa
dfabnoahjnbkpfpadnngfiamnmombjmc,dfabnoahjnbkpfpadnngfiamnmombjmc,jecokmchgeclckelfhgeppinafkcpklo,id,ThingamaTABS,1.0,ThingamaTABS,1.0,/app/extensions/lnobpejklocjncnjkdeigjpbeekhbdmp
lhmliamcnkidjmpkehhdobloflkinjkm,lhmliamcnkidjmpkehhdobloflkinjkm,andiheooblgocbkjdlcifdodgibopnkn,id,Password Generator,4.1.1,Password Generator,4.1.1,/app/extensions/khhhgiocpaeaepoedjkcmhhaaoibnncg
cboiihjkpoglonpcokofnogklldjanog,cboiihjkpoglonpcokofnogklldjanog,cjbnpefpekllgbbckngiadnnplmllkjl,id,SPG - Strong Password Generator,2.1,SPG - Strong Password Generator,2.1,/app/extensions/nemkjcfofmjconpdgiggibcaogabfpgf
nneamfdhikhofpcjlekehfdgcjhndafd,nneamfdhikhofpcjlekehfdgcjhndafd,mpmlnooplnechbnmoggpbkenffhgobpg,id,Bookmark Visualizer,2.2,Bookmark Visualizer,2.2,/app/extensions/fmlnkfjpadhcjoiphjhpfjbjmoicinnl
coaeeoeibgkgpamkpckcdgaobkjonion,coaeeoeibgkgpamkpckcdgaobkjonion,imbmjphekopkgjfgebbnlchjicgjmmmj,id,Repeater,1.1,Repeater,1.1,/app/extensions/pkegppdghlabdnaicfoildjnppdabcaf
efifejldhjgaahmmilfjlcnegkghglpl,efifejldhjgaahmmilfjlcnegkghglpl,ihgaicdanldagfcgojmdcnhjkhjmnnhp,id,Hydrawallet,0.0.10,Hydrawallet,0.0.10,/app/extensions/polcbnennmbhbdoafiicjgccofalcncl
pgcmocepbpfhmmijbkkbgfeblfcdmmbf,pgcmocepbpfhmmijbkkbgfeblfcdmmbf,jmoookboemklbceaknhpnpkdnplmejjl,id,Backstairs Game House,1.0.1,Backstairs Game House,1.0.1,/app/extensions/gnbahblccifcgnfejjijlmjcidfookfh
dfjikpibamfdjmbehgmmibhcbjhlleji,dfjikpibamfdjmbehgmmibhcbjhlleji,bfnffdiokfhhhhkcgkdhhdkkafgnhahe,id,Lavaca Developer Tools,0.0.5,Lavaca Developer Tools,0.0.5,/app/extensions/kbeolfhnclacoappfhlcnlngdonhhmjb
bennjncpdnagmdljjiaknlifgdmphecd,bennjncpdnagmdljjiaknlifgdmphecd,hnlioemiefhocddipelbbnfhikeockkj,id,洪水・高潮リスク情報埋め込み　KeepDry,0.0.0.2,洪水・高潮リスク情報埋め込み　KeepDry,0.0.0.2,/app/extensions/mbhjhgephgpmihkcjiaojpegafajjhbc
memokfnkpgdjobpofphcablopgiichff,memokfnkpgdjobpofphcablopgiichff,pjiikmedffcfglaenklcappnobenaell,id,FGC Lite,1.4.8,FGC Lite,1.4.8,/app/extensions/oeghpabljpekdmnkijjiambadiobfoog
pahcliklakmemcjblnkkgojbjapleclo,pahcliklakmemcjblnkkgojbjapleclo,cgollmnapboikjgnkhnokpnkpddhfnpj,id,Kramerly,1.0.0,Kramerly,1.0.0,/app/extensions/lgipjbhnmcbiihnhagpeimpcfflffnei
gmnbooobfpmpneahdodoiddocbbjllga,gmnbooobfpmpneahdodoiddocbbjllga,jmhjajcfblkkbaegdlabnploajhdbpgb,id,Orderly,0.0.6,Orderly,0.0.6,/app/extensions/pjjjidoojlblojfbndkpoegiabbopgko
cjkdhmpngnpbcdjmmklijgfoincfapcm,cjkdhmpngnpbcdjmmklijgfoincfapcm,ndhjnhhckdlakjhaibhcpfmhojdpingp,id,QPocket,1.7.0,QPocket,1.7.0,/app/extensions/dhabdofcfmbcogjdnlnjnodicfmaaiej
kamdgboidomchcpinngjlbcamfhbkhnn,kamdgboidomchcpinngjlbcamfhbkhnn,hfnpadekbnjadbhlcopojkcnjhgogjnd,id,Twitter Filter,0.1.4,Twitter Filter,0.1.4,/app/extensions/hfaokbpplplaeglmcpmjacghbnidjnll
ljibmalhangcmjoodlklooihehgnohei,ljibmalhangcmjoodlklooihehgnohei,eainefeiifpnoffchgkilmioggafhhoh,id,Highlight,1.6.59,Highlight,1.6.59,/app/extensions/nffionklkilbohdkhcmkbbkofhkbmggl
ennjefgehhmkgbeeckkaamhcohhghilf,ennjefgehhmkgbeeckkaamhcohhghilf,bpjcchcioaceholcljhcaahmglepnmlp,id,Vocabera,1.4.0,Vocabera,1.4.0,/app/extensions/ijfgijeflpaieoejkdilchchpjmemnop
jpjgnkoobdjggjknoejleibclddflhhj,jpjgnkoobdjggjknoejleibclddflhhj,jjofdbdgogjahjidagmdmnhjhpndlbbd,id,新浪微博时区助手 Timezone Helper for Weibo.com,0.5,新浪微博时区助手 Timezone Helper for Weibo.com,0.5,/app/extensions/ilemdnkedjecplfcbaopicpcdkiafehd
jkkajfdlllklkdogdliiekiifkohbind,jkkajfdlllklkdogdliiekiifkohbind,kfmlpponpdidipbemlecboepkgjjepih,id,Minimalist for Everything,0.8.0,Minimalist for Everything,0.8.0,/app/extensions/bmihblnpomgpjkfddepdpdafhhepdbek
gmfnhgekmcgknlbnccifbgaolkmfdack,gmfnhgekmcgknlbnccifbgaolkmfdack,bcdepclkbpcaajdebnnkjfeiocfapgce,id,FejoaAuth,0.1.4,FejoaAuth,0.1.4,/app/extensions/ijcdfmompeadkoencdidemcajjibpodi
cgnpnjmjklfcalnkjadmhakigcmfkeih,cgnpnjmjklfcalnkjadmhakigcmfkeih,jmmdkbgjmgkjfaeilneeoikmkadfoeip,id,ShardEx,0.1.6,ShardEx,0.1.6,/app/extensions/lcjncibgcgiphbnnalcpagcmigkejolg
emcjdngajkpbakgnkdgcchihghefikao,emcjdngajkpbakgnkdgcchihghefikao,pfdmgfpojkekhgpbehehiomfhaflmamg,id,Turbo Chrome - Navegue mais rápido!,1.0,Turbo Chrome - Navegue mais rápido!,1.0,/app/extensions/ddfggnpadelhnkhiimnmfaappkbjnaan
ffaajihcojdgmniajmgeandigjbdkkgb,ffaajihcojdgmniajmgeandigjbdkkgb,obdeopblcpjfhhemnponigcgbhpaegla,id,Readersourcing 2.0: RS_Rate,1.0.14,Readersourcing 2.0: RS_Rate,1.0.14,/app/extensions/hlkdlngpijhdkbdlhmgeemffaoacjagg
hmlbbpbfhpdlgfnpdlgkjbkkbfhpaoai,hmlbbpbfhpdlgfnpdlgkjbkkbfhpaoai,fioabfndikppdaiimkbimddkfncdmbhj,id,ContentStudio - Social Media Scheduler,0.3.11,ContentStudio - Social Media Scheduler,0.3.11,/app/extensions/dmcddloohffhmjngiieikfifpfneadcc
lchgncgkegpocpdbdjnkkjccbggbnaeh,lchgncgkegpocpdbdjnkkjccbggbnaeh,nikicdbelnblflmchadklkhhlnempnhh,id,Jamo Automator,1.0.5,Jamo Automator,1.0.5,/app/extensions/ahgphjdpjnihnngeooabdkfjmpikicfe
kccnkinkappfjppknffcpjkhkpambgfm,kccnkinkappfjppknffcpjkhkpambgfm,cnndlhgejakggjdagklnpejknobdamno,id,name,2.0.0,name,2.0.0,/app/extensions/lblnjnhnjofhbebdbodbnodcmacimmig
dmpcdfoaekmmapemolheegecabijlbmf,dmpcdfoaekmmapemolheegecabijlbmf,phepomlfhjheopgcdjlldbejchmfmpok,id,Box for tabs,0.9.2,Box for tabs,0.9.2,/app/extensions/llinjdlelnciefmjflikdndckffeohho
igfbjepcmlgabkgpkpbklmpbbnlagcoj,igfbjepcmlgabkgpkpbklmpbbnlagcoj,embfgamffocppjmpcmdfeplchblbloef,id,MoodiModo,2.10.212,MoodiModo,2.10.212,/app/extensions/lncgjbhijecjdbdgeigfodmiimpmlelg
holkaimpefmoidkdamcdfogjdbopihoe,holkaimpefmoidkdamcdfogjdbopihoe,njeghmopplmgomipehmolifcjiebgcno,id,蝦皮賣家黑精靈,1.1.4,蝦皮賣家黑精靈,1.1.4,/app/extensions/mapdbndfkjcaakdahokfikojbamjeleg
bafajkcbalfkkdghjpgcaaopfalikmlk,bafajkcbalfkkdghjpgcaaopfalikmlk,eikohphpnhelagiehbopgfkledaielil,id,"Omni - tabs, history and bookmarks by Tefter",1.16.0,"Omni - tabs, history and bookmarks by Tefter",1.16.0,/app/extensions/eldofalegbgagpenjjcapjaogpioldoh
edcmdkajjaphafjijhpebmeaogoeeeam,edcmdkajjaphafjijhpebmeaogoeeeam,lonlnlbngdbpnlgkbpmonapomacidemh,id,name,1.0.0,name,1.0.0,/app/extensions/omcoeajdllefbpjjgckklicaoejmenpo
jicfhkclcbbdonkdapiekgbhggdocdnp,jicfhkclcbbdonkdapiekgbhggdocdnp,meklnkonajbfjmhlmhmelioopmjihlao,id,"Web Boost - Wait Less, Browse Faster!",3.2.4,"Web Boost - Wait Less, Browse Faster!",3.2.4,/app/extensions/ahbkhnpmoamidjgbneafjipbmdfpefad
